days_since_release,current_rating,num_reviews,final_score
2.7,44.43,148,35.89
12.77,14.88,72,10.75
11.25,26.59,338,20.86
9.2,66.06,126,67.79
6.86,41.39,240,39.46
9.49,46.49,61,41.97
6.43,72.45,32,64.47
12.07,79.35,254,77.19
3.65,63.91,106,67.79
5.24,24.9,354,15.64
8.07,72.01,293,66.36
9.92,36.01,230,35.89
11.13,36.98,230,35.89
13.47,67.66,39,72.25
2.2,90.07,198,95.63
10.59,20.19,133,18.86
5.39,41.07,41,44.26
1.19,86.04,118,81.46
8.62,35.29,279,39.46
11.3,66.45,119,67.79
8.27,64.91,32,64.47
5.56,72.58,26,72.25
9.42,17.79,206,17.16
2.46,63.5,29,72.25
7.95,96.47,336,95.63
4.04,20.69,156,17.16
0.8,9.24,42,15.16
8.06,42.53,325,47.35
11.5,27.37,342,20.86
7.22,80.99,87,79.52
11.07,68.77,33,72.25
6.46,42.14,98,40.62
1.4,65.01,68,67.79
8.12,3.04,200,11.49
7.23,42.93,272,39.46
2.01,18.65,78,16.33
13.33,71.66,206,67.37
11.8,22.33,235,25.97
5.81,82.44,74,79.52
1.38,32.98,28,41.97
7.93,97.25,312,95.63
1.54,32.82,127,40.35
11.61,32.61,172,34.72
1.71,66.79,95,72.11
5.54,37.51,247,40.35
12.48,40.18,263,39.46
5.14,73.41,228,77.19
12.34,25.86,195,24.59
0.71,11.82,48,15.16
3.66,69.81,37,64.47
3.74,59.11,212,56.16
4.35,56.56,232,56.16
10.92,21.19,195,24.59
10.1,16.03,342,20.86
7.61,72.7,28,72.25
4.92,14.0,290,15.64
0.72,1.29,67,6.6
3.53,40.65,187,40.26
12.5,39.35,342,47.35
3.1,2.45,123,6.6
8.1,68.31,140,67.79
1.06,31.6,112,40.26
11.04,85.23,83,87.52
1.5,18.86,125,17.16
4.71,50.68,307,56.14
2.17,27.23,71,15.16
7.26,14.24,218,20.86
0.13,64.46,1,72.25
0.13,56.56,8,67.79
9.75,85.85,76,87.52
13.53,80.33,207,86.51
10.62,68.89,32,64.47
1.42,41.51,15,52.29
0.64,96.16,95,95.63
6.22,60.39,25,52.29
5.12,18.02,178,17.16
11.53,84.22,207,86.51
12.01,25.6,144,18.86
7.03,17.22,296,20.86
5.15,47.57,29,52.29
6.4,55.32,260,37.14
2.27,44.33,20,52.29
9.37,74.77,38,72.25
13.01,92.17,338,95.63
11.94,25.79,118,15.16
13.35,39.02,52,44.26
10.55,30.76,98,40.62
3.71,83.19,190,81.46
3.81,90.66,255,95.63
6.88,77.91,183,81.46
12.83,24.89,156,18.86
4.59,54.17,275,56.14
2.66,16.54,74,15.16
7.43,81.64,207,86.51
10.68,19.59,193,11.49
1.11,34.91,33,41.97
9.8,16.78,156,18.86
1.1,69.23,15,64.47
3.53,0.28,64,10.75
1.85,68.54,84,67.79
2.85,21.44,133,24.59
6.57,7.77,148,6.6
0.72,12.1,67,17.16
5.07,93.46,68,96.51
3.72,72.99,121,67.79
7.38,50.35,29,52.29
12.84,49.2,342,47.35
3.37,40.4,48,41.97
12.19,11.12,232,11.49
9.29,8.6,72,10.75
1.69,8.0,103,6.6
8.84,14.66,140,16.33
7.54,68.96,167,72.11
1.25,67.66,79,72.11
6.19,100.0,303,95.63
6.33,97.41,350,94.11
9.97,100.0,67,96.51
9.99,51.86,342,47.35
1.23,53.96,22,64.47
11.63,85.5,90,79.52
12.06,49.93,287,47.35
4.82,65.93,26,64.47
13.23,0.0,174,5.71
8.49,33.32,261,25.97
7.98,35.52,257,39.46
9.29,65.86,197,67.37
11.26,76.1,163,72.11
1.84,33.94,212,37.14
2.46,63.59,33,72.25
10.62,80.85,77,79.52
3.42,72.92,105,67.79
11.91,72.9,36,72.25
1.43,29.27,135,40.26
9.74,33.95,98,40.62
0.23,9.97,14,16.33
8.14,7.63,144,6.6
5.65,65.46,140,67.79
1.29,24.86,97,24.59
1.36,34.66,173,37.14
6.37,21.0,84,15.16
8.9,43.96,232,40.35
2.51,6.81,132,6.6
6.1,41.44,98,40.62
12.29,78.25,137,67.79
9.8,38.93,197,34.72
5.39,34.11,191,35.89
8.96,10.65,166,5.71
11.35,0.0,72,10.75
10.51,39.73,52,44.26
10.38,67.21,32,64.47
1.58,75.86,23,72.25
6.54,13.12,209,17.16
4.62,18.86,323,15.64
11.04,96.04,84,96.51
3.94,11.57,142,17.16
6.98,56.74,230,56.16
3.75,51.88,212,40.35
11.43,71.86,90,79.52
4.39,32.16,174,35.89
10.39,71.17,140,67.79
8.86,97.22,338,95.63
2.12,69.58,159,81.46
10.21,44.53,252,40.35
9.91,10.41,72,10.75
6.23,92.24,82,87.52
12.7,48.34,323,47.35
0.31,27.29,51,37.14
13.96,36.63,60,41.97
5.51,51.76,311,56.14
8.59,94.73,326,95.63
13.26,53.84,243,56.16
11.95,40.18,320,37.14
5.85,14.65,209,17.16
1.07,84.62,202,94.11
9.1,33.14,235,40.26
7.55,56.16,279,66.36
6.33,61.24,48,64.47
13.5,62.73,301,66.36
0.05,10.01,4,24.59
9.13,22.06,232,11.49
11.43,36.95,210,35.89
10.63,40.99,61,41.97
4.53,76.11,33,72.25
12.76,73.66,233,77.19
5.2,76.34,90,79.52
13.53,16.42,174,5.71
6.11,6.21,153,5.71
7.64,13.47,139,16.33
6.28,91.15,350,94.11
1.77,9.64,153,11.49
1.05,58.71,22,64.47
8.07,19.03,248,25.97
13.94,12.43,100,15.16
1.28,14.98,99,18.86
6.3,87.36,341,94.11
5.25,46.83,56,41.97
4.75,84.24,230,77.19
0.94,11.24,169,15.64
4.26,44.62,184,34.72
12.5,48.74,342,47.35
2.69,62.89,138,67.37
5.75,48.99,25,52.29
0.52,81.44,68,77.19
6.51,33.51,275,39.46
4.04,24.18,141,18.86
13.63,32.73,320,37.14
8.82,48.67,252,56.16
0.11,23.69,20,37.14
3.15,53.94,195,56.16
4.46,84.1,85,79.52
8.17,48.44,339,56.14
9.63,57.08,339,56.14
5.16,43.72,259,56.14
2.5,34.63,171,35.89
1.41,8.6,97,6.6
6.51,46.11,278,47.35
9.01,100.0,86,96.51
3.89,72.69,25,64.47
4.16,26.7,242,25.97
13.85,35.44,231,40.35
8.5,37.79,229,40.26
1.55,11.4,91,16.33
5.7,70.45,301,66.36
3.6,81.31,171,86.51
3.1,91.01,56,96.51
5.88,11.01,132,16.33
9.03,89.01,89,87.52
0.35,77.08,39,86.51
6.32,68.17,279,66.36
7.08,100.0,67,96.51
3.71,46.69,201,40.35
5.41,81.26,84,79.52
9.65,81.7,218,81.46
0.49,63.68,12,64.47
9.53,65.36,339,56.14
3.35,50.6,40,44.26
9.92,14.0,72,10.75
5.36,7.44,219,11.49
8.54,19.19,59,10.75
0.64,34.4,19,41.97
6.72,16.53,251,20.86
4.38,7.87,132,5.71
4.62,8.97,55,10.75
5.33,40.78,95,40.62
5.69,63.68,193,67.37
13.16,88.81,207,86.51
8.78,38.11,262,25.97
12.84,81.14,73,79.52
0.36,42.11,39,40.26
3.52,40.24,30,44.26
13.15,44.69,230,35.89
12.27,47.06,237,40.35
11.47,39.73,235,40.26
9.81,25.88,342,20.86
5.61,16.91,115,15.16
4.96,71.63,217,66.36
13.73,95.49,76,87.52
1.0,83.05,112,81.46
9.07,38.41,237,40.35
5.82,45.5,306,37.14
4.76,7.64,203,11.49
13.72,84.67,207,86.51
10.0,76.56,155,72.11
4.97,43.49,241,39.46
11.67,79.66,73,87.52
0.71,10.5,87,17.16
5.32,49.23,50,41.97
3.67,18.18,152,24.59
9.07,39.88,279,39.46
12.13,99.98,86,96.51
11.38,96.09,89,87.52
12.81,88.29,207,86.51
6.29,74.39,27,64.47
2.31,64.73,174,66.36
0.79,90.92,125,94.11
1.92,66.97,93,72.11
0.51,69.7,61,77.19
2.93,51.83,180,40.35
9.4,74.01,253,66.36
10.04,77.18,167,72.11
7.41,68.8,40,64.47
