"film_name			",critic_name,review_date,review_sentiment
Now You See Me: Now You See Me Don't,Steven Prokopy,2-Dec,Negative
Now You See Me: Now You See Me Don't,Nelson Acosta,1-Dec,Negative
Now You See Me: Now You See Me Don't,Sean P. Means,30-Nov,Positive
Now You See Me: Now You See Me Don't,Manuel São Bento,27-Nov,Negative
Now You See Me: Now You See Me Don't,Kaitlyn Booth,25-Nov,Positive
Now You See Me: Now You See Me Don't,Sarah Gopaul,25-Nov,Positive
Now You See Me: Now You See Me Don't,Matt Hambidge,24-Nov,Positive
Now You See Me: Now You See Me Don't,Whang Yee Ling,24-Nov,Positive
Now You See Me: Now You See Me Don't,Marriska Fernandes,24-Nov,Negative
Now You See Me: Now You See Me Don't,Juan Luis Caviaro,24-Nov,Positive
Now You See Me: Now You See Me Don't,Lisa Johnson Mandell,24-Nov,Negative
Now You See Me: Now You See Me Don't,Jake Tropila,24-Nov,Negative
Now You See Me: Now You See Me Don't,Lauren Veneziani,23-Nov,Positive
Now You See Me: Now You See Me Don't,Marta Medina,23-Nov,Positive
Now You See Me: Now You See Me Don't,Richard Bardon,22-Nov,Positive
Now You See Me: Now You See Me Don't,Mark Jackson,21-Nov,Positive
Now You See Me: Now You See Me Don't,Robert Roten,21-Nov,Positive
Now You See Me: Now You See Me Don't,Renuka Vyavahare,21-Nov,Positive
Now You See Me: Now You See Me Don't,Amelia Harvey,20-Nov,Positive
Now You See Me: Now You See Me Don't,Shikhar Verma,19-Nov,Negative
Now You See Me: Now You See Me Don't,Juanma Fernández París,18-Nov,Positive
Now You See Me: Now You See Me Don't,Abbie Bernstein,18-Nov,Positive
Now You See Me: Now You See Me Don't,Stephen Thompson,18-Nov,Positive
Now You See Me: Now You See Me Don't,Kristen Meinzer,18-Nov,Positive
Now You See Me: Now You See Me Don't,Maxwell Rabb,18-Nov,Negative
Now You See Me: Now You See Me Don't,Dustin Rowles,17-Nov,Negative
Now You See Me: Now You See Me Don't,Wendy Ide,17-Nov,Negative
Now You See Me: Now You See Me Don't,Bob Mondello,17-Nov,Negative
Now You See Me: Now You See Me Don't,Samarth Goyal,17-Nov,Positive
Now You See Me: Now You See Me Don't,Fausto Fernandez,17-Nov,Positive
Now You See Me: Now You See Me Don't,Jeremy Jahns,17-Nov,Positive
Now You See Me: Now You See Me Don't,Thelma Adams,17-Nov,Positive
Now You See Me: Now You See Me Don't,Anthony Morris,16-Nov,Positive
Now You See Me: Now You See Me Don't,Laia Cabuli,15-Nov,Positive
Now You See Me: Now You See Me Don't,Casey Chong,15-Nov,Positive
Now You See Me: Now You See Me Don't,John Urbancich,15-Nov,Negative
Now You See Me: Now You See Me Don't,Christopher Lloyd,15-Nov,Positive
Now You See Me: Now You See Me Don't,Rachel Wagner,15-Nov,Positive
Now You See Me: Now You See Me Don't,Patrick Beatty,15-Nov,Negative
Now You See Me: Now You See Me Don't,Jack Martin,15-Nov,Positive
Now You See Me: Now You See Me Don't,Peter Travers,14-Nov,Negative
Now You See Me: Now You See Me Don't,Kevin Maher,14-Nov,Negative
Now You See Me: Now You See Me Don't,Sean Chandler,14-Nov,Negative
Now You See Me: Now You See Me Don't,Lydia Wei,14-Nov,Positive
Now You See Me: Now You See Me Don't,Julian Lytle,14-Nov,Positive
Now You See Me: Now You See Me Don't,Damond Fudge,14-Nov,Positive
Now You See Me: Now You See Me Don't,Scaachi Koul,14-Nov,Positive
Now You See Me: Now You See Me Don't,Robbie Collin,14-Nov,Negative
Now You See Me: Now You See Me Don't,Mark Kermode,14-Nov,Negative
Now You See Me: Now You See Me Don't,James Berardinelli,14-Nov,Negative
Now You See Me: Now You See Me Don't,Dana Han-Klein,14-Nov,Negative
Now You See Me: Now You See Me Don't,Rafer Guzman,14-Nov,Positive
Now You See Me: Now You See Me Don't,Katie Walsh,14-Nov,Positive
Now You See Me: Now You See Me Don't,Anna McKibbin,14-Nov,Positive
Now You See Me: Now You See Me Don't,Vincent Mancini,14-Nov,Positive
Now You See Me: Now You See Me Don't,Nell Minow,14-Nov,Positive
Now You See Me: Now You See Me Don't,Mini Anthikad-Chhibber,14-Nov,Positive
Now You See Me: Now You See Me Don't,Mark Meszoros,14-Nov,Positive
Now You See Me: Now You See Me Don't,Mark Dujsik,14-Nov,Negative
Now You See Me: Now You See Me Don't,Chris Bumbray,14-Nov,Positive
Now You See Me: Now You See Me Don't,James Mottram,14-Nov,Negative
Now You See Me: Now You See Me Don't,Lupe Rodriguez Haas,13-Nov,Positive
Now You See Me: Now You See Me Don't,Russ Simmons,13-Nov,Positive
Now You See Me: Now You See Me Don't,Sandra Hall,13-Nov,Negative
Now You See Me: Now You See Me Don't,Jesse Hassenger,13-Nov,Positive
Now You See Me: Now You See Me Don't,Sonia Rao,13-Nov,Negative
Now You See Me: Now You See Me Don't,John Nugent,13-Nov,Negative
Now You See Me: Now You See Me Don't,Alissa Wilkinson,13-Nov,Positive
Now You See Me: Now You See Me Don't,Alicia P. Ferreirós,13-Nov,Positive
Now You See Me: Now You See Me Don't,Vinamra Mathur,13-Nov,Positive
Now You See Me: Now You See Me Don't,Andrew Parker,13-Nov,Positive
Now You See Me: Now You See Me Don't,Kyle Smith,13-Nov,Negative
Now You See Me: Now You See Me Don't,Frank Swietek,13-Nov,Negative
Now You See Me: Now You See Me Don't,Kenneth R. Morefield,13-Nov,Negative
Now You See Me: Now You See Me Don't,Nina Starner,13-Nov,Positive
Now You See Me: Now You See Me Don't,Rendy Jones,13-Nov,Positive
Now You See Me: Now You See Me Don't,Brian Orndorf,13-Nov,Negative
Now You See Me: Now You See Me Don't,Richard Crouse,13-Nov,Negative
Now You See Me: Now You See Me Don't,Jim Schembri,13-Nov,Positive
Now You See Me: Now You See Me Don't,Josh Bell,13-Nov,Negative
Now You See Me: Now You See Me Don't,Nicholas Brooks,13-Nov,Positive
Now You See Me: Now You See Me Don't,Sreeju Sudhakaran,13-Nov,Negative
Now You See Me: Now You See Me Don't,Leo Brady,12-Nov,Negative
Now You See Me: Now You See Me Don't,James Preston Poole,12-Nov,Positive
Now You See Me: Now You See Me Don't,Leigh Paatsch,12-Nov,Positive
Now You See Me: Now You See Me Don't,Santiago Alverú,12-Nov,Negative
Now You See Me: Now You See Me Don't,Helen O'Hara,12-Nov,Positive
Now You See Me: Now You See Me Don't,Nate Adams,12-Nov,Positive
