"film_name			",critic_name,review_date,review_sentiment
Sarah's Oil,Linda Cook,11-Nov,Positive
Sarah's Oil,Christie Cronan,11-Nov,Positive
Sarah's Oil,Paul Salfen,10-Nov,Positive
Sarah's Oil,Rachel Wagner,8-Nov,Positive
Sarah's Oil,Carla Hay,7-Nov,Positive
Sarah's Oil,Joe Leydon,7-Nov,Positive
Sarah's Oil,Mark Dujsik,7-Nov,Negative
Sarah's Oil,Cole Groth,6-Nov,Positive
Sarah's Oil,Avi Offer,6-Nov,Positive
Sarah's Oil,Russ Simmons,6-Nov,Positive
Sarah's Oil,Christian Toto,6-Nov,Positive
Sarah's Oil,Natalia Winkelman,6-Nov,Negative
