"film_name			",critic_name,review_date,review_sentiment
The Running Man,David Nusair,5-Dec,Negative
The Running Man,Louisa Moore,4-Dec,Positive
The Running Man,Dennis Harvey,3-Dec,Negative
The Running Man,Steven Prokopy,2-Dec,Positive
The Running Man,Nelson Acosta,1-Dec,Negative
The Running Man,Dwight Brown,1-Dec,Negative
The Running Man,Mark Meszoros,27-Nov,Negative
The Running Man,John McDonald,27-Nov,Negative
The Running Man,Kiko Martinez,26-Nov,Negative
The Running Man,Mel Valentin,25-Nov,Positive
The Running Man,Mey Rude,25-Nov,Negative
The Running Man,Jonathan Dean,24-Nov,Negative
The Running Man,Neely Swanson,24-Nov,Negative
The Running Man,Marriska Fernandes,24-Nov,Positive
The Running Man,Marcelo Paredes,24-Nov,Positive
The Running Man,Mel Campbell,23-Nov,Positive
The Running Man,John Daniel Tangalin,23-Nov,Positive
The Running Man,Luis Martínez,21-Nov,Positive
The Running Man,Fausto Fernandez,21-Nov,Positive
The Running Man,Keri O'Shea,21-Nov,Positive
The Running Man,Eileen Jones,21-Nov,Negative
The Running Man,Todd Jorgenson,21-Nov,Negative
The Running Man,Adam Kempenaar,21-Nov,Negative
The Running Man,Sara Michelle Fetters,21-Nov,Negative
The Running Man,Kathia Woods,19-Nov,Positive
The Running Man,Nicolás Delgadillo,19-Nov,Positive
The Running Man,Nicholas Bell,18-Nov,Positive
The Running Man,Rick Bentley,18-Nov,Positive
The Running Man,Tim Cogshell,18-Nov,Negative
The Running Man,James Verniere,18-Nov,Positive
The Running Man,Beth Accomando,18-Nov,Positive
The Running Man,Susan Granger,18-Nov,Positive
The Running Man,Juanma Fernández París,18-Nov,Positive
The Running Man,Hugo Hernández Valdivia,18-Nov,Positive
The Running Man,Jorge Loser,18-Nov,Positive
The Running Man,Abbie Bernstein,18-Nov,Positive
The Running Man,Brian Viner,18-Nov,Positive
The Running Man,Katherine McLaughlin,18-Nov,Positive
The Running Man,Michael Clark,18-Nov,Negative
The Running Man,Rob Gonsalves,18-Nov,Positive
The Running Man,Bob Grimm,18-Nov,Negative
The Running Man,Alise Chaffins,18-Nov,Positive
The Running Man,Tori Preston,17-Nov,Positive
The Running Man,Linda Holmes,17-Nov,Positive
The Running Man,Samarth Goyal,17-Nov,Positive
The Running Man,Nick Johnston,17-Nov,Negative
The Running Man,Tim Brennan,17-Nov,Positive
The Running Man,Alci Rengifo,17-Nov,Positive
The Running Man,Candice McMillan,17-Nov,Positive
The Running Man,Keith Garlington,17-Nov,Negative
The Running Man,Alan French,17-Nov,Negative
The Running Man,Ruth Maramis,17-Nov,Negative
The Running Man,Jackson Weaver,17-Nov,Negative
The Running Man,Joshua Ryan,17-Nov,Positive
The Running Man,Sarah Vincent,16-Nov,Positive
The Running Man,Daniel Rester,16-Nov,Positive
The Running Man,Matthew St. Clair,16-Nov,Positive
The Running Man,Cody Leach,16-Nov,Positive
The Running Man,Sarah Marrs,16-Nov,Negative
The Running Man,Sergio Valentino,16-Nov,Positive
The Running Man,Anthony Morris,16-Nov,Positive
The Running Man,Rachel Wagner,16-Nov,Positive
The Running Man,Korey Coleman,16-Nov,Positive
The Running Man,Reanna Cruz,15-Nov,Negative
The Running Man,Ronald Young Jr.,15-Nov,Positive
The Running Man,Laia Cabuli,15-Nov,Positive
The Running Man,Lady Jenevia,15-Nov,Negative
The Running Man,Simon Foster,15-Nov,Negative
The Running Man,Jana Monji,15-Nov,Positive
The Running Man,Murjani Rawls,15-Nov,Negative
The Running Man,Mathew DeKinder,15-Nov,Negative
The Running Man,Patrick Beatty,15-Nov,Positive
The Running Man,Nandini Ramnath,15-Nov,Positive
The Running Man,Ganesh Aaglave,15-Nov,Positive
The Running Man,Josh Larsen,15-Nov,Positive
The Running Man,Shubhra Gupta,15-Nov,Negative
The Running Man,Abby Olcese,14-Nov,Positive
The Running Man,Brian Lowry,14-Nov,Negative
The Running Man,Serena Seghedoni,14-Nov,Positive
The Running Man,Mike McGranaghan,14-Nov,Positive
The Running Man,Peter Travers,14-Nov,Positive
The Running Man,Rosa Parra,14-Nov,Positive
The Running Man,Sean Chandler,14-Nov,Positive
The Running Man,Ronak Kotecha,14-Nov,Positive
The Running Man,Stephanie Zacharek,14-Nov,Negative
The Running Man,John Lui,14-Nov,Positive
The Running Man,Lupe Rodriguez Haas,14-Nov,Positive
The Running Man,Rick Romancito,14-Nov,Positive
The Running Man,Jonathan Romney,14-Nov,Positive
The Running Man,Damond Fudge,14-Nov,Positive
The Running Man,Sam Adams,14-Nov,Negative
The Running Man,Brent Hankins,14-Nov,Negative
The Running Man,Prabhjot Bains,14-Nov,Positive
The Running Man,Wendy Ide,14-Nov,Positive
The Running Man,Dulcie Pearce,14-Nov,Positive
The Running Man,Mark Kermode,14-Nov,Positive
The Running Man,Rich Cline,14-Nov,Positive
The Running Man,James Berardinelli,14-Nov,Negative
The Running Man,Jeffrey M. Anderson,14-Nov,Positive
The Running Man,Lalo Ortega,14-Nov,Positive
The Running Man,Kate Stables,14-Nov,Positive
The Running Man,Alison Willmore,14-Nov,Negative
The Running Man,Dan Scully,14-Nov,Positive
The Running Man,Lisa Laman,14-Nov,Negative
The Running Man,Rafer Guzman,14-Nov,Negative
The Running Man,G. Allen Johnson,14-Nov,Negative
The Running Man,Patrick McDonald,14-Nov,Positive
The Running Man,David Jenkins,14-Nov,Negative
The Running Man,Micheal Compton,14-Nov,Positive
The Running Man,Linda and Al Lerner,14-Nov,Positive
The Running Man,Matt Lynch,14-Nov,Negative
The Running Man,Victoria Luxford,14-Nov,Positive
The Running Man,Mikel Zorrilla,14-Nov,Positive
The Running Man,Guillermo Troncoso,14-Nov,Positive
The Running Man,Nate Adams,14-Nov,Negative
The Running Man,Joonatan Itkonen,14-Nov,Positive
The Running Man,Jonathan W. Hickman,14-Nov,Negative
The Running Man,Sreeju Sudhakaran,14-Nov,Positive
The Running Man,Leo Brady,14-Nov,Negative
The Running Man,David Harris,13-Nov,Negative
The Running Man,Jeffrey Harris,13-Nov,Negative
The Running Man,Sean Burns,13-Nov,Negative
The Running Man,Russ Simmons,13-Nov,Positive
The Running Man,Jesse Hassenger,13-Nov,Positive
The Running Man,Christopher Lloyd,13-Nov,Negative
The Running Man,Simon Miraudo,13-Nov,Positive
The Running Man,Marcelo Stiletano,13-Nov,Positive
The Running Man,Richard Whittaker,13-Nov,Positive
The Running Man,Manohla Dargis,13-Nov,Positive
The Running Man,Dominic Baez,13-Nov,Positive
The Running Man,Michael Walsh,13-Nov,Positive
The Running Man,Kristian M. Lin,13-Nov,Positive
The Running Man,Chris Klimek,13-Nov,Positive
The Running Man,Adam Graham,13-Nov,Negative
The Running Man,Robert Denerstein,13-Nov,Positive
The Running Man,Alex Bentley,13-Nov,Negative
The Running Man,Amy Nicholson,13-Nov,Negative
The Running Man,Frank Swietek,13-Nov,Negative
The Running Man,Nick Howells,13-Nov,Positive
The Running Man,Clarisse Loughrey,13-Nov,Negative
The Running Man,Barry Hertz,13-Nov,Negative
The Running Man,Alistair Harkness,13-Nov,Positive
The Running Man,Jeremy Jahns,13-Nov,Negative
The Running Man,Randy Myers,13-Nov,Positive
The Running Man,Eric Marchen,13-Nov,Positive
The Running Man,Thom Ernst,13-Nov,Positive
The Running Man,Chase Hutchinson,13-Nov,Negative
The Running Man,Joseph Robinson,13-Nov,Positive
The Running Man,Lucas Moore,13-Nov,Positive
The Running Man,Mark Hughes,13-Nov,Positive
The Running Man,Kyle Wilson,13-Nov,Positive
The Running Man,Oscar Goff,13-Nov,Positive
The Running Man,Mark Dujsik,13-Nov,Positive
The Running Man,Jorge Rivera Rubio,13-Nov,Positive
The Running Man,Matt Goldberg,13-Nov,Negative
The Running Man,Nagier Chambers,13-Nov,Positive
The Running Man,Richard Crouse,13-Nov,Positive
The Running Man,Jim Schembri,13-Nov,Negative
The Running Man,Ben Morganti,13-Nov,Positive
The Running Man,Rebecca Johnson,13-Nov,Positive
The Running Man,Karina Adelgaard,13-Nov,Positive
The Running Man,Jeanne Kaplan,12-Nov,Positive
The Running Man,David Kaplan,12-Nov,Positive
The Running Man,Dana Han-Klein,12-Nov,Negative
The Running Man,Matt Donato,12-Nov,Negative
The Running Man,Johnny Oleksinski,12-Nov,Negative
The Running Man,Leigh Paatsch,12-Nov,Negative
The Running Man,Anthony O'Connor,12-Nov,Positive
The Running Man,Paul McGuire Grimes,12-Nov,Positive
The Running Man,Breeze Riley,12-Nov,Positive
The Running Man,Andrea Chase,12-Nov,Positive
The Running Man,Derrick Murray,12-Nov,Negative
The Running Man,Chris Wasser,12-Nov,Negative
The Running Man,Jon Negroni,12-Nov,Negative
The Running Man,Peter Sobczynski,12-Nov,Negative
The Running Man,Patrick Cavanaugh,12-Nov,Negative
The Running Man,Philip De Semlyen,12-Nov,Negative
The Running Man,Jake Wilson,12-Nov,Positive
The Running Man,David Poland,12-Nov,Positive
The Running Man,Larushka Ivan-Zadeh,12-Nov,Positive
The Running Man,Douglas Davidson,12-Nov,Positive
The Running Man,Meagan Navarro,12-Nov,Negative
The Running Man,Chris Joyce,12-Nov,Positive
The Running Man,Lee McCoy,12-Nov,Positive
The Running Man,Neil Pond,12-Nov,Positive
The Running Man,Kat Hughes,12-Nov,Positive
The Running Man,James Mottram,12-Nov,Positive
The Running Man,Jack Martin,12-Nov,Positive
The Running Man,Katie Smith-Wong,12-Nov,Positive
The Running Man,Aaron Neuwirth,11-Nov,Positive
The Running Man,Matthew Jackson,11-Nov,Positive
The Running Man,Brian Eggert,11-Nov,Positive
The Running Man,Marshall Shaffer,11-Nov,Negative
The Running Man,Peter Gray,11-Nov,Positive
The Running Man,Avi Offer,11-Nov,Negative
The Running Man,Adam Olinger,11-Nov,Positive
The Running Man,Fico Cangiano,11-Nov,Positive
The Running Man,Robert Kojder,11-Nov,Negative
The Running Man,Julian Roman,11-Nov,Negative
The Running Man,Laura Potier,11-Nov,Positive
The Running Man,Zach Pope,11-Nov,Positive
The Running Man,Pat Bulfamante,11-Nov,Positive
The Running Man,Carla Hay,11-Nov,Negative
The Running Man,Matt Zoller Seitz,11-Nov,Positive
The Running Man,Sebastian Zavala Kahn,11-Nov,Positive
The Running Man,Bob Chipman,11-Nov,Negative
The Running Man,Doug Jamieson,11-Nov,Negative
The Running Man,Adam Nayman,11-Nov,Negative
The Running Man,Calum Cooper,11-Nov,Positive
The Running Man,Scott Mendelson,11-Nov,Negative
The Running Man,Travis Hopson,11-Nov,Positive
The Running Man,Andrew Wyatt,11-Nov,Negative
The Running Man,Jonathan Sim,11-Nov,Positive
The Running Man,Clint Cage,11-Nov,Positive
The Running Man,Kenneth R. Morefield,11-Nov,Negative
The Running Man,Joe George,11-Nov,Positive
The Running Man,Kristy Puchko,11-Nov,Negative
The Running Man,Ryan Britt,11-Nov,Positive
The Running Man,Tina Kakadelis,11-Nov,Negative
The Running Man,Dominic Griffin,11-Nov,Positive
The Running Man,Kelechi Ehenulo,11-Nov,Positive
The Running Man,Alex Harrison,11-Nov,Positive
The Running Man,Grace Randolph,11-Nov,Negative
The Running Man,Kristen Lopez,11-Nov,Negative
The Running Man,Elliott Collins,11-Nov,Negative
The Running Man,Manuel São Bento,11-Nov,Negative
The Running Man,Sean P. Means,11-Nov,Positive
The Running Man,Alistair Ryder,11-Nov,Positive
The Running Man,Brian Orndorf,11-Nov,Negative
The Running Man,Laura Clifford,11-Nov,Negative
The Running Man,Spencer Perry,11-Nov,Positive
The Running Man,M.N. Miller,11-Nov,Positive
The Running Man,Eric Goldman,11-Nov,Positive
The Running Man,George Simpson,11-Nov,Positive
The Running Man,Jeremy Aspinall,11-Nov,Positive
The Running Man,Owen Gleiberman,11-Nov,Positive
The Running Man,Eddie Harrison,11-Nov,Positive
The Running Man,Allison Rose,11-Nov,Negative
The Running Man,Robbie Collin,11-Nov,Positive
The Running Man,Kevin Maher,11-Nov,Negative
The Running Man,Stefan Pape,11-Nov,Positive
The Running Man,John Nugent,11-Nov,Positive
The Running Man,Yasmine Kandil,11-Nov,Positive
The Running Man,Nikki Baughan,11-Nov,Negative
The Running Man,Germain Lussier,11-Nov,Positive
The Running Man,Rachel Leishman,11-Nov,Positive
The Running Man,David Ehrlich,11-Nov,Positive
The Running Man,Fred Topel,11-Nov,Negative
The Running Man,Alonso Duralde,11-Nov,Positive
The Running Man,Brian Truitt,11-Nov,Positive
The Running Man,Peter Bradshaw,11-Nov,Positive
The Running Man,Chris Evangelista,11-Nov,Negative
The Running Man,Jay Ledbetter,11-Nov,Positive
The Running Man,Molly Edwards,11-Nov,Negative
The Running Man,Linda Marric,11-Nov,Positive
The Running Man,Jarrod Jones,11-Nov,Positive
The Running Man,Damon Wise,11-Nov,Positive
The Running Man,Casey Chong,11-Nov,Positive
The Running Man,Tessa Smith,11-Nov,Negative
The Running Man,Jake Cole,11-Nov,Negative
The Running Man,Joey Magidson,11-Nov,Positive
The Running Man,David Rooney,11-Nov,Negative
The Running Man,David Fear,11-Nov,Positive
The Running Man,Aidan Kelley,11-Nov,Positive
The Running Man,Cameron Ritter,11-Nov,Positive
The Running Man,William Bibbiani,11-Nov,Negative
The Running Man,Nick Schager,11-Nov,Negative
The Running Man,Giovanni Lago,11-Nov,Negative
The Running Man,Liz Shannon Miller,11-Nov,Positive
The Running Man,David Gonzalez,11-Nov,Positive
The Running Man,Kate Sánchez,11-Nov,Positive
The Running Man,Blake Howard,10-Nov,Positive
