"film_name			",critic_name,review_date,review_sentiment
The Witcher: Season 4,Alex Maidy,14-Nov,Positive
The Witcher: Season 4,Mel Campbell,6-Nov,Negative
The Witcher: Season 4,Lissete Lanuza Sáenz,4-Nov,Negative
The Witcher: Season 4,Decider,3-Nov,Positive
The Witcher: Season 4,Austin Burke,3-Nov,Negative
The Witcher: Season 4,Mini Anthikad-Chhibber,3-Nov,Positive
The Witcher: Season 4,Alci Rengifo,31-Oct,Positive
The Witcher: Season 4,Jamie Parker,31-Oct,Positive
The Witcher: Season 4,Joonatan Itkonen,31-Oct,Positive
The Witcher: Season 4,Ed Power,30-Oct,Positive
The Witcher: Season 4,Pat Stacey,30-Oct,Negative
The Witcher: Season 4,Lyvie Scott,30-Oct,Positive
The Witcher: Season 4,Andrew Webster,30-Oct,Negative
The Witcher: Season 4,Sabrina Barr,30-Oct,Positive
The Witcher: Season 4,Clint Worthington,30-Oct,Negative
The Witcher: Season 4,Lacy Baugher,30-Oct,Positive
The Witcher: Season 4,Nick Hilton,30-Oct,Negative
The Witcher: Season 4,Aramide Tinubu,30-Oct,Positive
The Witcher: Season 4,Matt Fowler,30-Oct,Positive
The Witcher: Season 4,Sarah Dempster,30-Oct,Negative
The Witcher: Season 4,Jorge Rivera Rubio,30-Oct,Positive
The Witcher: Season 4,Carly Lane,30-Oct,Positive
The Witcher: Season 4,Debopriyaa Dutta,30-Oct,Negative
The Witcher: Season 4,Nicola Austin,30-Oct,Negative
The Witcher: Season 4,Kate Sánchez,30-Oct,Positive
The Witcher: Season 4,Chase Hutchinson,30-Oct,Negative
