"film_name			",critic_name,review_date,review_sentiment
Wake Up Dead Man: A Knives Out Mystery,Ty Burr,1d,Positive
Wake Up Dead Man: A Knives Out Mystery,Peter Travers,1d,Positive
Wake Up Dead Man: A Knives Out Mystery,Kyle Smith,1d,Negative
Wake Up Dead Man: A Knives Out Mystery,Original Cin,1d,Positive
Wake Up Dead Man: A Knives Out Mystery,Mia Staub,1d,Positive
Wake Up Dead Man: A Knives Out Mystery,Simon Miraudo,2d,Positive
Wake Up Dead Man: A Knives Out Mystery,Sucharita Tyagi,2d,Positive
Wake Up Dead Man: A Knives Out Mystery,Tom Meek,2d,Positive
Wake Up Dead Man: A Knives Out Mystery,Leigh Paatsch,2d,Positive
Wake Up Dead Man: A Knives Out Mystery,Louisa Moore,2d,Positive
Wake Up Dead Man: A Knives Out Mystery,Mattie Lucas,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Dennis Harvey,3d,Negative
Wake Up Dead Man: A Knives Out Mystery,Tim Stevens,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Keith Phipps,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Rob Gonsalves,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Rick Bentley,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Alison Gillmor,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Susan Granger,3d,Negative
Wake Up Dead Man: A Knives Out Mystery,Josh Larsen,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Sara Clements,3d,Positive
Wake Up Dead Man: A Knives Out Mystery,Michael Nordine,4d,Negative
Wake Up Dead Man: A Knives Out Mystery,Danny Leigh,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Jake Wilson,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Kieron Moore,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Peter Rainer,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Rich Cline,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Bob Mondello,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Mark Kennedy,4d,Negative
Wake Up Dead Man: A Knives Out Mystery,Matt Goldberg,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Cheyenne Bart-Stewart,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Kim Newman,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Mathew Rodriguez,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Brian Viner,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Lucas Hill-Paul,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Tina Kakadelis,4d,Negative
Wake Up Dead Man: A Knives Out Mystery,Radheyan Simonpillai,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Paul McGuire Grimes,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Stephen Porzio,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Patrick Beatty,4d,Negative
Wake Up Dead Man: A Knives Out Mystery,Wenlei Ma,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Steven Prokopy,4d,Positive
Wake Up Dead Man: A Knives Out Mystery,Dulcie Pearce,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Kristian M. Lin,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Wendy Ide,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Liz Kocan,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Patrick McDonald,5d,Negative
Wake Up Dead Man: A Knives Out Mystery,Clarisse Loughrey,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Josie Meléndez,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Sarah Vincent,5d,Positive
Wake Up Dead Man: A Knives Out Mystery,Robert Denerstein,5d,Negative
Wake Up Dead Man: A Knives Out Mystery,Lady Jenevia,6d,Positive
Wake Up Dead Man: A Knives Out Mystery,Liz Wiest,6d,Positive
Wake Up Dead Man: A Knives Out Mystery,Odie Henderson,6d,Positive
Wake Up Dead Man: A Knives Out Mystery,Sean P. Means,6d,Positive
Wake Up Dead Man: A Knives Out Mystery,Randy Meeks,29-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Leah Schnelbach,29-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Richard Propes,29-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Ryan Syrek,28-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Michael Calleri,27-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Richard Crouse,27-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Victoria Luxford,27-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,John Urbancich,27-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Alex Bentley,27-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Linda and Al Lerner,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Ben Wasserman,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Fico Cangiano,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Joey Moser,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Robert Kojder,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jeff Ewing,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Barry Hertz,26-Nov,Negative
Wake Up Dead Man: A Knives Out Mystery,Randy Myers,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jeff York,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Emily Bootle,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Richard Whittaker,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Nick Johnston,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Moira MacDonald,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Sonia Rao,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Alissa Wilkinson,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Emily Garbutt,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Kevin Slane,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Matthew Creith,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Matt Donato,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Adam Graham,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Peter Bradshaw,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Ethan J. Rosenberg,26-Nov,Negative
Wake Up Dead Man: A Knives Out Mystery,Mike McGranaghan,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Tori Brazier,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Frank Swietek,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Grace Randolph,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jonathan W. Hickman,26-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jesse Doppelt,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Sherin Nicole,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,MaryAnn Johanson,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Peter Sobczynski,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Amy Nicholson,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Laura Clifford,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Don Shanahan,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Matthew Jackson,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Carla Renata,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Liz Shannon Miller,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Tara McNamara,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jacob Oller,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Brian Orndorf,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Marissa Hill,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Brian Eggert,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Mark Dujsik,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Jean Henegan,25-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Derrick Murray,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,EJ Moreno,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Joanna Langfield,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,G. Allen Johnson,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Tim Brennan,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,John Nugent,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Rachel Wagner,24-Nov,Negative
Wake Up Dead Man: A Knives Out Mystery,Fred Topel,24-Nov,Positive
Wake Up Dead Man: A Knives Out Mystery,Chris Evangelista,24-Nov,Positive
