"film_name			",critic_name,review_date,review_sentiment
Wicked: For Good,Ty Burr,5-Dec,Negative
Wicked: For Good,One Carlo Diaz,5-Dec,Positive
Wicked: For Good,Paul Marchbanks,5-Dec,Positive
Wicked: For Good,Keith Garlington,5-Dec,Negative
Wicked: For Good,Louisa Moore,4-Dec,Positive
Wicked: For Good,Linda Holmes,4-Dec,Positive
Wicked: For Good,Tre'vell Anderson,4-Dec,Positive
Wicked: For Good,Armond White,3-Dec,Negative
Wicked: For Good,Susan Granger,3-Dec,Positive
Wicked: For Good,Nicole Eckrich,3-Dec,Positive
Wicked: For Good,Brian Bromberger,2-Dec,Positive
Wicked: For Good,Brandon Lewis,2-Dec,Positive
Wicked: For Good,Lisa Laman,2-Dec,Positive
Wicked: For Good,Alistair Harkness,1-Dec,Negative
Wicked: For Good,Robert Roten,1-Dec,Negative
Wicked: For Good,Nelson Acosta,1-Dec,Positive
Wicked: For Good,Dwight Brown,1-Dec,Positive
Wicked: For Good,Sean P. Means,30-Nov,Positive
Wicked: For Good,Yasser Medina,27-Nov,Negative
Wicked: For Good,Mark Meszoros,27-Nov,Positive
Wicked: For Good,Nathalia Aryani,26-Nov,Positive
Wicked: For Good,Coleman Spilde,26-Nov,Negative
Wicked: For Good,Adam Kempenaar,26-Nov,Negative
Wicked: For Good,Eric Goldman,26-Nov,Positive
Wicked: For Good,Chauncey K. Robinson,26-Nov,Positive
Wicked: For Good,Melanie Fischer,26-Nov,Negative
Wicked: For Good,Josh Larsen,26-Nov,Negative
Wicked: For Good,Kiko Martinez,26-Nov,Negative
Wicked: For Good,Marissa Hill,25-Nov,Positive
Wicked: For Good,Kaitlyn Booth,25-Nov,Negative
Wicked: For Good,Eric Marchen,25-Nov,Negative
Wicked: For Good,Sandie Angulo Chen,25-Nov,Positive
Wicked: For Good,Mey Rude,25-Nov,Positive
Wicked: For Good,Alise Chaffins,25-Nov,Positive
Wicked: For Good,Matt Rodriguez,25-Nov,Negative
Wicked: For Good,Brian Lowry,24-Nov,Positive
Wicked: For Good,Emma Badame,24-Nov,Positive
Wicked: For Good,Mathew Rodriguez,24-Nov,Negative
Wicked: For Good,Bob Grimm,24-Nov,Negative
Wicked: For Good,Brooke Obie,24-Nov,Negative
Wicked: For Good,Peter Rainer,24-Nov,Negative
Wicked: For Good,Claudia Puig,24-Nov,Negative
Wicked: For Good,Tom Shone,24-Nov,Positive
Wicked: For Good,Chris Klimek,24-Nov,Positive
Wicked: For Good,David Sims,24-Nov,Negative
Wicked: For Good,John Lui,24-Nov,Positive
Wicked: For Good,Marlon Wallace,24-Nov,Negative
Wicked: For Good,Justin Chang,24-Nov,Negative
Wicked: For Good,Joel Harley,24-Nov,Positive
Wicked: For Good,Dana Stevens,24-Nov,Positive
Wicked: For Good,Jared Rasic,24-Nov,Negative
Wicked: For Good,Jericho Tadeo,24-Nov,Positive
Wicked: For Good,S. Poorvaja,24-Nov,Positive
Wicked: For Good,Mikel Zorrilla,24-Nov,Positive
Wicked: For Good,Adam Graham,24-Nov,Negative
Wicked: For Good,Lisa Johnson Mandell,24-Nov,Positive
Wicked: For Good,Abbie Bernstein,24-Nov,Positive
Wicked: For Good,Alan Ng,24-Nov,Positive
Wicked: For Good,Bill Goodykoontz,24-Nov,Positive
Wicked: For Good,Sheraz Farooqi,24-Nov,Positive
Wicked: For Good,Mel Campbell,23-Nov,Positive
Wicked: For Good,Lauren Veneziani,23-Nov,Positive
Wicked: For Good,Nick Rogers,23-Nov,Negative
Wicked: For Good,M.N. Miller,23-Nov,Positive
Wicked: For Good,Mattie Lucas,23-Nov,Negative
Wicked: For Good,Michael Ward,23-Nov,Negative
Wicked: For Good,Dionar Hidalgo,23-Nov,Negative
Wicked: For Good,Ruth Maramis,23-Nov,Positive
Wicked: For Good,Megan Bailey,23-Nov,Negative
Wicked: For Good,Sarah Knight Adamson,23-Nov,Positive
Wicked: For Good,Lee McCoy,23-Nov,Negative
Wicked: For Good,Doug Walker,23-Nov,Positive
Wicked: For Good,Agustín Pérez,23-Nov,Positive
Wicked: For Good,Sarah Vincent,23-Nov,Positive
Wicked: For Good,Korey Coleman,23-Nov,Positive
Wicked: For Good,Natasha Alvar,22-Nov,Positive
Wicked: For Good,Rich Cline,22-Nov,Positive
