movie_id,days_since_release,current_rating,num_reviews,final_score,final_rating_bucket
532,7.58,62.57,328,62.72,1
102,11.53,79.39,240,79.51,1
433,4.66,60.34,70,60.22,1
55,12.3,56.35,331,51.29,0
695,6.94,49.41,126,48.27,0
598,6.57,55.81,163,56.2,0
553,12.89,57.4,79,58.0,0
150,7.27,39.2,135,43.57,0
988,4.52,55.18,344,51.3,0
405,13.35,12.71,201,17.87,0
176,2.49,62.98,21,59.98,0
393,6.0,43.23,130,41.88,0
822,1.68,63.7,116,63.54,1
814,3.75,76.54,114,81.57,1
628,8.33,81.13,103,84.69,1
262,3.72,40.46,148,36.0,0
969,1.99,55.15,52,67.09,1
839,10.64,79.58,223,76.05,1
404,5.49,83.1,72,84.95,1
16,0.46,59.04,82,59.62,0
496,12.26,42.99,214,42.86,0
372,4.51,64.57,37,66.74,1
951,0.18,74.47,12,79.93,1
877,13.8,7.81,69,13.06,0
455,12.15,65.59,247,65.67,1
821,13.46,44.64,43,35.06,0
803,10.86,56.5,71,62.64,1
506,12.82,30.72,232,29.55,0
952,11.35,65.86,108,79.91,1
182,8.42,43.33,250,48.14,0
197,6.13,95.62,229,96.61,2
894,5.58,59.1,351,59.44,0
833,10.88,46.24,36,49.05,0
631,6.15,95.83,153,95.48,2
572,1.33,68.69,45,70.26,1
607,0.9,82.03,55,87.33,1
691,1.32,4.08,205,7.28,0
171,6.96,11.92,143,8.93,0
936,4.24,30.63,75,25.19,0
870,2.79,77.66,219,78.93,1
772,5.9,99.13,208,95.62,2
520,0.48,91.39,19,94.11,2
325,5.57,38.19,69,39.86,0
48,5.3,72.11,321,72.78,1
824,11.04,64.32,70,58.33,0
986,12.64,94.69,290,89.49,1
656,7.08,20.11,87,11.57,0
183,2.37,55.29,162,53.34,0
799,1.25,63.67,130,61.84,1
202,13.33,55.72,306,54.69,0
748,9.27,77.76,89,83.73,1
784,5.4,72.02,293,79.81,1
691,8.7,17.14,305,7.28,0
670,0.71,27.33,84,25.72,0
48,13.28,82.9,284,72.78,1
887,2.83,77.04,161,77.12,1
493,8.5,44.91,301,50.15,0
563,2.85,22.79,242,20.46,0
789,13.12,100.0,347,96.05,2
859,5.33,19.01,170,22.86,0
377,6.23,48.77,302,45.65,0
524,12.5,45.95,224,34.2,0
852,3.06,21.37,163,11.64,0
896,9.8,62.08,225,59.61,0
354,5.88,66.04,155,64.65,1
737,1.76,49.19,184,46.95,0
225,0.91,5.32,96,10.29,0
151,11.74,16.4,84,12.72,0
606,1.02,68.86,145,68.8,1
924,8.09,5.76,47,6.61,0
274,12.86,22.88,250,22.04,0
70,11.2,82.33,157,87.35,1
310,5.2,13.54,316,22.95,0
537,6.87,69.9,195,67.42,1
807,0.13,44.42,14,51.13,0
880,9.0,19.31,160,15.38,0
728,1.59,56.48,205,71.41,1
49,4.64,18.76,66,19.61,0
139,1.85,47.76,209,44.91,0
385,7.98,12.94,282,17.97,0
575,10.39,86.48,242,83.17,1
430,10.68,100.0,44,90.17,2
582,5.7,57.26,285,50.3,0
941,1.69,23.97,110,21.08,0
628,1.4,86.53,56,84.69,1
637,2.71,26.54,105,24.55,0
319,13.82,29.7,35,27.98,0
240,9.64,68.06,256,61.9,1
309,6.2,31.13,206,43.91,0
532,7.65,62.91,295,62.72,1
378,9.48,29.62,145,32.17,0
819,4.79,87.46,149,83.52,1
876,6.26,59.72,236,60.86,1
67,0.14,18.23,16,28.26,0
656,8.88,16.76,84,11.57,0
633,5.03,23.16,344,38.26,0
772,9.3,97.54,222,95.62,2
700,4.79,15.95,234,23.29,0
931,10.08,7.59,299,11.65,0
105,9.7,10.13,100,17.42,0
765,11.22,76.17,180,72.54,1
215,12.08,65.1,236,76.59,1
224,10.19,28.64,48,24.59,0
550,6.53,91.04,324,93.55,2
238,9.03,87.28,107,90.99,2
135,3.46,30.52,53,24.52,0
609,4.91,38.2,138,39.21,0
830,6.06,48.09,283,45.15,0
547,10.06,12.27,20,5.73,0
127,11.86,27.04,204,23.79,0
630,12.69,52.49,323,49.82,0
492,10.33,13.71,149,21.9,0
220,3.05,30.22,124,27.21,0
982,10.75,6.62,163,11.09,0
617,7.33,65.66,256,58.64,0
620,1.11,60.64,167,66.51,1
480,1.34,69.9,125,66.61,1
535,7.08,54.98,185,59.71,0
378,2.63,36.66,109,32.17,0
178,8.55,66.04,21,77.13,1
430,6.59,80.57,44,90.17,2
177,10.14,75.47,342,70.22,1
249,5.45,20.75,184,21.36,0
371,6.22,23.26,339,21.3,0
466,4.19,13.95,325,17.18,0
115,1.73,31.61,199,33.72,0
383,2.33,83.19,225,90.94,2
290,9.2,60.07,135,61.12,1
601,6.74,86.07,166,90.0,2
776,5.8,81.48,194,88.86,1
487,1.73,70.86,116,78.11,1
600,7.03,52.77,337,53.51,0
260,3.63,0.75,235,9.57,0
577,11.07,48.31,177,54.29,0
618,7.72,27.3,126,25.77,0
463,11.92,68.79,166,66.7,1
198,0.42,37.25,61,40.46,0
804,13.02,73.13,352,75.95,1
861,5.62,42.03,201,44.64,0
872,1.53,93.19,245,86.05,1
682,5.44,99.19,287,95.47,2
782,5.76,66.44,126,60.77,1
136,7.03,63.42,152,58.21,0
164,7.96,54.6,200,51.07,0
447,3.54,4.86,175,6.7,0
870,13.27,86.12,301,78.93,1
757,12.24,64.78,153,67.92,1
863,10.16,41.22,211,34.02,0
335,2.24,88.3,181,86.81,1
98,0.46,80.71,55,90.88,2
246,10.5,85.13,185,85.4,1
105,4.03,17.46,83,17.42,0
43,5.1,10.83,115,12.35,0
953,10.54,29.7,227,29.63,0
649,13.08,5.47,172,10.07,0
363,5.46,65.91,115,58.56,0
285,12.52,45.58,220,53.18,0
603,12.65,12.95,24,14.72,0
334,11.57,72.36,27,66.93,1
320,1.7,48.85,193,54.3,0
521,3.37,48.15,74,55.68,0
499,1.74,49.58,121,47.89,0
953,12.59,25.67,240,29.63,0
231,10.33,68.16,40,74.96,1
443,10.8,76.86,216,81.07,1
233,3.96,22.19,228,30.08,0
708,7.56,48.98,121,50.92,0
19,9.93,17.38,261,16.16,0
209,13.41,45.34,113,46.8,0
267,10.7,90.06,59,85.9,1
109,6.64,70.92,178,70.51,1
