days_since_release,current_rating,num_reviews,final_score
1,52.94,17,57.69
2,60.0,20,57.69
3,60.0,20,57.69
4,60.0,20,57.69
5,60.87,23,57.69
6,58.33,24,57.69
7,58.33,24,57.69
8,56.0,25,57.69
9,56.0,25,57.69
10,56.0,25,57.69
1,92.59,108,92.22
2,91.6,119,92.22
3,91.27,126,92.22
4,90.91,132,92.22
5,91.04,134,92.22
6,91.78,146,92.22
7,92.31,169,92.22
8,92.53,174,92.22
9,92.61,176,92.22
10,92.18,179,92.22
1,94.77,153,92.13
2,94.94,158,92.13
3,94.97,159,92.13
4,95.06,162,92.13
5,95.18,166,92.13
6,94.29,175,92.13
7,92.86,196,92.13
8,92.23,206,92.13
9,92.42,211,92.13
10,92.13,216,92.13
1,69.91,226,67.41
2,69.75,238,67.41
3,69.17,253,67.41
4,68.35,278,67.41
5,68.07,285,67.41
6,67.24,293,67.41
7,67.12,295,67.41
8,67.12,295,67.41
9,67.12,295,67.41
10,67.23,296,67.41
1,86.0,100,86.13
2,86.79,106,86.13
3,87.39,111,86.13
4,86.21,116,86.13
5,86.67,120,86.13
6,86.89,122,86.13
7,86.89,122,86.13
8,86.89,122,86.13
9,86.99,123,86.13
10,86.4,125,86.13
1,64.29,196,63.6
2,63.64,209,63.6
3,64.68,218,63.6
4,64.35,230,63.6
5,65.45,246,63.6
6,65.73,248,63.6
7,65.73,248,63.6
8,65.1,255,63.6
9,65.1,255,63.6
10,65.37,257,63.6
1,58.16,98,60.87
2,59.05,105,60.87
3,59.43,106,60.87
4,59.29,113,60.87
5,60.17,118,60.87
6,59.66,119,60.87
7,60.0,120,60.87
8,60.98,123,60.87
9,61.29,124,60.87
10,61.9,126,60.87
1,75.0,8,83.33
2,77.78,9,83.33
3,77.78,9,83.33
4,80.0,10,83.33
5,83.33,12,83.33
6,83.33,12,83.33
7,83.33,12,83.33
8,83.33,12,83.33
9,83.33,12,83.33
10,83.33,12,83.33
1,85.71,182,86.15
2,85.05,194,86.15
3,85.57,201,86.15
4,85.12,215,86.15
5,85.52,221,86.15
6,85.4,226,86.15
7,85.71,231,86.15
8,86.02,236,86.15
9,85.65,237,86.15
10,85.77,239,86.15
