Review Order,Critic Name,Date Reviewed,Review Sentiment
1,Sherin Nicole,7-Oct,Negative
2,NicolÃ¡s Delgadillo,7-Oct,Positive
3,Avi Offer,7-Oct,Negative
4,Kevin Maher,7-Oct,Negative
5,Carla Hay,7-Oct,Negative
6,Wendy Lee Szany,7-Oct,Positive
7,Jeffrey Lyles,7-Oct,Negative
8,Robert Kojder,7-Oct,Negative
9,Charles Pulliam-Moore,7-Oct,Negative
10,Laura Clifford,7-Oct,Positive
11,Mike Massie,7-Oct,Positive
12,Jeremy Jahns,7-Oct,Negative
13,Dominic Griffin,7-Oct,Positive
14,Tara Brady,7-Oct,Negative
15,Zach Pope,7-Oct,Negative
16,Fred Topel,7-Oct,Negative
17,Aaron Neuwirth,7-Oct,Positive
18,Ryan Britt,7-Oct,Positive
19,Tessa Smith,7-Oct,Positive
20,Aaron Pruner,7-Oct,Positive
21,Nell Minow,7-Oct,Positive
22,Sonny Bunch,7-Oct,Negative
23,Odie Henderson,7-Oct,Negative
24,Todd Gilchrist,7-Oct,Negative
25,Luke Y. Thompson,7-Oct,Negative
26,Matt Zoller Seitz,7-Oct,Positive
27,Mark Kennedy,7-Oct,Positive
28,Tim Grierson,7-Oct,Negative
29,Samantha Nelson,7-Oct,Negative
30,John Nugent,7-Oct,Positive
31,Michael Walsh,7-Oct,Positive
32,Jonathan Sim,7-Oct,Positive
33,Pete Hammond,7-Oct,Positive
34,Julian Roman,7-Oct,Positive
35,Harry Guerin,7-Oct,Positive
36,James Mottram,7-Oct,Positive
37,Linda Marric,7-Oct,Positive
38,Alison Willmore,7-Oct,Negative
39,Peter Debruge,7-Oct,Negative
40,Peter Martin,7-Oct,Positive
41,Germain Lussier,7-Oct,Positive
42,Alonso Duralde,7-Oct,Positive
43,Robbie Collin,7-Oct,Negative
44,Emily Garbutt,7-Oct,Negative
45,Grace Randolph,7-Oct,Positive
46,Rachel Leishman,7-Oct,Positive
47,David Ehrlich,7-Oct,Positive
48,Liz Shannon Miller,7-Oct,Positive
49,Matt Goldberg,7-Oct,Positive
50,Clarisse Loughrey,7-Oct,Negative
51,Matt Singer,7-Oct,Positive
52,Brian Truitt,7-Oct,Negative
53,David Fear,7-Oct,Negative
54,Kate SÃ¡nchez,7-Oct,Positive
55,Clint Cage,7-Oct,Negative
56,Witney Seibold,7-Oct,Negative
57,Nick Schager,7-Oct,Negative
58,Ross Bonaime,7-Oct,Positive
59,David Rooney,7-Oct,Positive
60,William Bibbiani,7-Oct,Negative
61,Peter Bradshaw,7-Oct,Negative
62,Giovanni Lago,7-Oct,Negative
63,Trace Sauveur,7-Oct,Positive
64,Matt Oakes,7-Oct,Negative
65,Anthony Gagliardi,7-Oct,Positive
66,Anthony Morris,8-Oct,Positive
67,Yasser Medina,8-Oct,Negative
68,Grant Watson,8-Oct,Positive
69,Casey Chong,8-Oct,Positive
70,Doug Jamieson,8-Oct,Negative
71,Peter Gray,8-Oct,Positive
72,Dan Scully,8-Oct,Negative
73,Cain Noble-Davies,8-Oct,Positive
74,Rendy Jones,8-Oct,Negative
75,Jeff Nelson,8-Oct,Negative
76,Barry Hertz,8-Oct,Negative
77,Brian Orndorf,8-Oct,Positive
78,Don Kaye,8-Oct,Negative
79,Branyan Towe,8-Oct,Positive
80,Sabrina Ramirez,8-Oct,Positive
81,Leo Brady,8-Oct,Positive
82,Larushka Ivan-Zadeh,8-Oct,Negative
83,Tom Santilli,8-Oct,Negative
84,Caralynn Matassa,8-Oct,Negative
85,Custodio Guerrero,8-Oct,Positive
86,Jake Wilson,8-Oct,Negative
87,Diego Batlle,8-Oct,Negative
88,Laia Cabuli,8-Oct,Positive
