Event Title,Market Title,Result,Settlement Date,Ticker,Volume
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 70,no,N/A,RTWITCHERS4-70,0
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 65,no,N/A,RTWITCHERS4-65,0
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 55,yes,N/A,RTWITCHERS4-55,11922
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 50,yes,N/A,RTWITCHERS4-50,10725
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 90::,no,N/A,RTWITCHERS4-90,5357
"""The Witcher: Season 4"" Rotten Tomatoes score?","Above 75:: This series is ""Certified Fresh!""",no,N/A,RTWITCHERS4-75,17955
"""The Witcher: Season 4"" Rotten Tomatoes score?","Above 60:: This series is ""Fresh!""",no,N/A,RTWITCHERS4-60,19449
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 45,yes,N/A,RTWITCHERS4-45,14003
"""Zootopia 2"" Rotten Tomatoes score?",Above 82,yes,N/A,KXRTZOOTOPIA2-82,1122
"""Zootopia 2"" Rotten Tomatoes score?",Above 87,yes,N/A,KXRTZOOTOPIA2-87,19656
"""Zootopia 2"" Rotten Tomatoes score?",Above 97,no,N/A,KXRTZOOTOPIA2-97,75454
"""Zootopia 2"" Rotten Tomatoes score?",Above 92,no,N/A,KXRTZOOTOPIA2-92,607494
"""Zootopia 2"" Rotten Tomatoes score?",Above 85,yes,N/A,KXRTZOOTOPIA2-85,38961
"""Zootopia 2"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTZOOTOPIA2-95,354301
"""Zootopia 2"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTZOOTOPIA2-80,7870
"""Zootopia 2"" Rotten Tomatoes score?",Above 90,yes,N/A,KXRTZOOTOPIA2-90,165030
"""Zootopia 2"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTZOOTOPIA2-75,8534
"""Zootopia 2"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTZOOTOPIA2-60,2417
"""Zootopia 2"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTZOOTOPIA2-45,1467
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 97,no,N/A,KXRTWAKEUPDEADMAN-97,9671
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTWAKEUPDEADMAN-95,22570
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 92,yes,N/A,KXRTWAKEUPDEADMAN-92,12021
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 90,yes,N/A,KXRTWAKEUPDEADMAN-90,8231
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 87,yes,N/A,KXRTWAKEUPDEADMAN-87,4389
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 85,yes,N/A,KXRTWAKEUPDEADMAN-85,238
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 82,yes,N/A,KXRTWAKEUPDEADMAN-82,248
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTWAKEUPDEADMAN-80,99
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTWAKEUPDEADMAN-75,333
